report_schema_version,machine_id,machine_uuid,manifest_id,manifest_profile,run_id,profile,started_at,finished_at,overall_status,item_kind,item_id,name,pass,analysis_status,failure_domain,category,metric_name,metric_value,threshold_maturity,threshold_min,threshold_max,threshold_expected,message,payload_json
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,firmware_result,2010,motion_xy_long_travel_factory,true,pass,none,motion,,,,,,,Raw firmware result passed.,"{""bound"":0,""dx"":43900,""dy"":33500,""guard"":0,""home_to"":0,""move_to"":0,""pts"":5,""ref"":2,""rep"":3,""ret_err"":0,""x_drift"":4,""x_ret"":0,""x_span"":4,""xmax"":44000,""y_drift"":4,""y_ret"":0,""y_span"":2,""ymax"":34000}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,firmware_result,2011,motion_xy_raster_repeatability_f,true,pass,none,motion,,,,,,,Raw firmware result passed.,"{""bound"":0,""cols"":12,""dx"":4400,""dy"":2800,""guard"":0,""home_to"":0,""move_to"":0,""moves"":194,""ref"":2,""rep"":2,""ret_err"":0,""rows"":8,""step"":400,""x_drift"":8,""x_ret"":0,""x_span"":6,""xmax"":7400,""y_drift"":4,""y_ret"":0,""y_span"":2,""ymax"":3800}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,host_check,,hello_ack,true,pass,none,,,,,,,,Host check passed.,"{""capabilities"":15,""fast_fail_on_missing_hello"":false,""observed_uart_bytes"":128,""retries_sent"":1,""retry_ms"":250,""run_id"":4249935331,""seq8"":1,""supports_selftest_transport"":true,""timeout_ms"":8000}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,host_check,,selftest_start_ack,true,pass,none,,,,,,,,Host check passed.,"{""ack_result"":""accepted"",""expected_seq32"":null,""observed_cmd"":254,""observed_seq32"":1,""observed_seq8"":2,""reason"":""ok"",""run_id"":4249935331,""seq32"":1,""seq8"":2,""timeout_ms"":2000,""transport_mode"":""queue_ack""}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,host_check,,goodbye_ack,true,pass,none,,,,,,,,Host check passed.,"{""run_id"":4249935331,""seq8"":3,""timeout_ms"":2000}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,host_check,,goodbye_done,true,pass,none,,,,,,,,Host check passed.,"{""observed_seq32"":4249935331,""run_id"":4249935331,""seq8"":3,""timeout_ms"":5000}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,host_check,,selftest_progress_watchdog,true,pass,none,,,,,,,,Host check passed.,"{""activity_timeout_ms"":120000,""effective_timeout_ms"":300000,""frame_counts"":{""2"":1,""251"":463,""252"":1,""254"":1},""last_progress"":{""elapsed_ms"":55313,""kind"":""progress"",""stage"":""wait_bits_set"",""stk_hwm_w"":0},""last_rx_byte_age_ms"":701,""last_selftest_frame_age_ms"":701,""last_valid_frame_age_ms"":701,""progress_count"":461,""progress_timeout_ms"":60000,""recent_frames"":[{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:12.412073Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:12.612730Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:12.612763Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:12.713327Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:12.713360Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:12.914021Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:12.914057Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.014619Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.014655Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.215369Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.215404Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.315968Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.316003Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.516707Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.516741Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.617305Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.617339Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.818040Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.818074Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:13.918646Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:13.918693Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.119409Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.119447Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.220016Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.220051Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.420748Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.420784Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.521347Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.521382Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.722075Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.722109Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:14.822672Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:14.822707Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.023405Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.023441Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.124007Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.124040Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.324729Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.324763Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.425324Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.425359Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.626048Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.626082Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.726645Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.726678Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:15.927371Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:15.927406Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.027970Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.028008Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.228691Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.228726Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.329289Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.329323Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.530001Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.530037Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.630399Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.730747Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:16.831322Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:16.831356Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:17.232293Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_enter"",""test_id"":0,""ts"":""2026-08-13T22:50:17.232329Z""},{""cmd"":251,""name"":""selftest_progress"",""progress"":true,""stage"":""wait_bits_set"",""test_id"":0,""ts"":""2026-08-13T22:50:18.083701Z""},{""cmd"":251,""name"":""motion_xy_raster_repeatability_f"",""test_id"":2011,""ts"":""2026-08-13T22:50:18.184394Z""},{""cmd"":252,""run_id"":4249935331,""ts"":""2026-08-13T22:50:18.184444Z""}],""reset_report"":null,""selftest_frames_seen"":464,""startup_reset_report"":null,""status_frames_since_selftest"":0,""status_gap_max_ms"":0,""status_gap_samples"":0,""status_only_timeout_ms"":120000,""timeout_reason"":null,""total_rx_bytes"":50616}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,analysis_metric,2010,motion_xy_long_travel_factory,true,pass,machine_performance,motion,x_span,4,candidate,,25,,"Metric within threshold: x_span=4, max=25.","{""category"":""motion"",""failure_domain"":""machine_performance"",""item_kind"":""metric"",""message"":""Metric within threshold: x_span=4, max=25."",""metric_name"":""x_span"",""metric_value"":4,""name"":""motion_xy_long_travel_factory"",""severity"":""info"",""status"":""pass"",""test_id"":2010,""threshold_expected"":null,""threshold_maturity"":""candidate"",""threshold_max"":25,""threshold_min"":null}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,analysis_metric,2010,motion_xy_long_travel_factory,true,pass,machine_performance,motion,y_span,2,candidate,,25,,"Metric within threshold: y_span=2, max=25.","{""category"":""motion"",""failure_domain"":""machine_performance"",""item_kind"":""metric"",""message"":""Metric within threshold: y_span=2, max=25."",""metric_name"":""y_span"",""metric_value"":2,""name"":""motion_xy_long_travel_factory"",""severity"":""info"",""status"":""pass"",""test_id"":2010,""threshold_expected"":null,""threshold_maturity"":""candidate"",""threshold_max"":25,""threshold_min"":null}"
qualification_report_v1,LC-001,dc0f3c73-0eef-4298-a491-148f7ff5713e,xy_motion_v1,FULL,4249935331,FULL,2026-08-13T22:49:23.171923Z,2026-08-13T22:50:18.785405Z,pass,analysis_metric,2010,motion_xy_long_travel_factory,true,pass,machine_performance,motion,x_drift,4,candidate,,25,,"Metric within threshold: x_drift=4, max=25.","{""category"":""motion"",""failure_domain"":""machine_performance"",""item_kind"":""metric"",""message"":""Metric within threshold: x_drift=4, max=25."",""metric_name"":""x_drift"",""metric_value"":4,""name"":""motion_xy_long_travel_factory"",""severity"":""info"",""status"":""pass"",""test_id"":2010,""threshold_expected"":null,""threshold_maturity"":""candidate"",""threshold_max"":25,""threshold_min"":null}"
