Reagent,Min Concentration,Max Concentration,Num Concentrations,Target Concentrations,Experiment_name,Fill_reagent,Final_volume,Replicates
Mg,0.0,5.0,6,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",Exp001,Water,10.0,3.0
K,0.0,4.0,5,"[0.0, 1.0, 2.0, 3.0, 4.0]",Exp001,Water,10.0,3.0
